username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Birustories;2018-10-18 10:50;0;0;"Mas, mas. Aku kira kamu rumah, ternyata kamu cuma gembira loka; lalu lalang, datang senang, pulang bimbang";;;;1052768887278776321;https://twitter.com/Birustories/status/1052768887278776321
BowoSusilo98;2018-10-18 10:49;0;0;Pagi guys... Yuhuuuuuu pagi ini aku akan berbagi kabar gembira nih.. Ada yang sukak makan HokBen # Hokben # HokbenLampung @ HokBen;;@;# #;1052768575734181888;https://twitter.com/BowoSusilo98/status/1052768575734181888
HazirahHy;2018-10-18 10:33;0;0;Bapak lama do fon ni boleh survive aku punya la gembira setiap kali dia terjatuh sampai terburai keluar bateri semua. Tapi hidup lagi. Cepat la sikit mampos nak fon baru;;;;1052764509893316609;https://twitter.com/HazirahHy/status/1052764509893316609
harlixa45;2018-10-18 10:17;0;0;Jalan rezeki aku macam diaa , akulah paling gembira .;;;;1052760461383426048;https://twitter.com/harlixa45/status/1052760461383426048
Dhntdrx;2018-10-18 09:07;0;2;Bener banget. Aku setuju. Kayaknya Army itu selalu dapet yang terbaik. Ada yang nyenggol dan bikin panas, langsung disuguhkan kabar gembira. Alhamdulillah:) mari sering-sering bersyukur Armyyy;;;;1052743032166965248;https://twitter.com/Dhntdrx/status/1052743032166965248
allyanabila_;2018-10-18 09:03;0;0;"Nak lupakan kau bukan senang bro""(even kau bgi aku gembira dengan kau seminggu dua je'((tpi dah byk kenangan manis yang kita dh buat bersama""((";;;;1052741830251401216;https://twitter.com/allyanabila_/status/1052741830251401216
FatinMdYanii;2018-10-18 08:59;0;0;Sebelum ni ada orang tempat luah masalah gembira semua. Tapi sejak dia dah jumpa orang baru. Jadi aku kurangkan sikit mengganggu sebab kadang nampak lah dia layan mau tak mau jaa;;;;1052740974139518976;https://twitter.com/FatinMdYanii/status/1052740974139518976
janganmembawang;2018-10-18 08:31;0;0;Dan khabar gembira yang aku harapkan adalah esok hari.;;;;1052733932104347648;https://twitter.com/janganmembawang/status/1052733932104347648
0pie_osyt;2018-10-18 08:02;0;0;Nice, aku tumpang gembira dgn ko;;;;1052726674834386945;https://twitter.com/0pie_osyt/status/1052726674834386945
fareezjohari;2018-10-18 07:52;1;2;kawan..penat lah buka2 insta asyik upload gamba kawin. Dalam masa sebulan lepas kawin tu acceptable lagi. Ye tahu dah kawin tahniah,aku tumpang gembira tp jgn lah spam;;;;1052724094129463296;https://twitter.com/fareezjohari/status/1052724094129463296
