username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
SNaikyuk;08/11/2018 04:11;0;0;Tegas akan diri sendiri, buang pikiran negatif dan lakukan yang baik. Kegelisahan hanya milik mereka yang putus asa - http://www.wisatacirebon.info;;;;1,06028E+18;https://twitter.com/SNaikyuk/status/1060278510474805248;
Barometer_Adv;08/11/2018 04:07;0;0;Peserta OutBound akan dapat belajar pentingnya memiliki jiwa yang tidak mengenal putus asa. http://www.barometeradventure.com/ # outbound;;;#;1,06028E+18;https://twitter.com/Barometer_Adv/status/1060277467301072897;
Emak2Partai;08/11/2018 04:01;1;3;Bagng kata2mu ini bs mmpngaruhi org lain jd ikut putus asa dukung Padi. Kita ga punya pilihan lain kcuali Prabowo Sandi, masa iya mau pilih jkw, silahkn kli mau pindah haluan tp jgn pengaruhi org lain utk patah smangat. Lbih baik kasih masukan ide gebrakan yg kau mksud itu. https://twitter.com/dulatips/status/1060167590557843457 …;;;;1,06028E+18;https://twitter.com/Emak2Partai/status/1060275998967554048;
juliandp17;08/11/2018 03:58;0;0;Tuhan tidakkan berikan cobaan melebihi kemampuanmu. Ketika putus asa, ingatlah, jika Tuhan memberinya padamu, Dia akan membantumu melewatinya~;;;;1,06028E+18;https://twitter.com/juliandp17/status/1060275421181206528;
SanSuwardhi;08/11/2018 03:49;0;0;Hahahaha... link abal-abal... gapapalah... biar mereka senang... Daripada putus asa elektabilitasnya nyungsep terus... lumayan menghibur diri sendiri. https://twitter.com/tawajkt/status/1060040326432219136 …;;;;1,06027E+18;https://twitter.com/SanSuwardhi/status/1060272981086072832;
bangkuceriaID;08/11/2018 03:47;0;0;"Penderitaan jiwa mengarahkan keburukan. Putus asa adalah sumber kesesatan; dan kegelapan hati, pangkal penderitaan jiwa.(Bediuzzaman Said Nursi)";;;;1,06027E+18;https://twitter.com/bangkuceriaID/status/1060272660582563840;
UntaianFAKTA;08/11/2018 03:41;0;0;"Dalam duka pasti ada suka. Jangan menyerah; karena dengan putus asa kita tidak lebih dari pecundang";;;;1,06027E+18;https://twitter.com/UntaianFAKTA/status/1060271104722255872;
FauziMazbro212;08/11/2018 03:41;0;1;بسم اللّه الرحمٰن الرّحيم اللهم صل وسلم وبارك على سيدنا محمد Saudaraku... Tetep semangat dan jangan mudah putus asa Karena kita tidak tahu, mungkin langkah selanjutnya adalah kunci dari Keberhasilan kita سبحان اللّه وبحمدهٖ ، سبحان اللّه العظيم;;;;1,06027E+18;https://twitter.com/FauziMazbro212/status/1060271073986469888;
Widi_Sebastian;08/11/2018 03:27;0;0;Kebanyakan orang yg jatuh dalam kesulitan, menghadapi masalah, kegagalan, & Putus asa hanya karena : MARAH. BENAR?;;;;1,06027E+18;https://twitter.com/Widi_Sebastian/status/1060267580089282561;
FashaAFF;08/11/2018 03:27;0;0;Ketika mimpimu belum juga terwujud, jangan putus asa. Petik pelajaran dari setiap kegagalan, berusaha lebih keras, dan berdoa.;;;;1,06027E+18;https://twitter.com/FashaAFF/status/1060267541220622336;
linimotivasi;08/11/2018 02:58;0;2;Jangan putus asa hanya karena segala sesuatu tak berjalan sesuai rencana. Masalah hanya menjadikanmu pribadi yg lebih kuat dan bijaksana.;;;;1,06026E+18;https://twitter.com/linimotivasi/status/1060260224819490819;
YeppeoMikki;08/11/2018 02:58;0;0;# Aries adalah pribadi yg cinta kedamaian dan juga tidak mudah putus asa;;;#;1,06026E+18;https://twitter.com/YeppeoMikki/status/1060260123724046336;
barbbbarian;08/11/2018 02:51;0;0;Kegagalan adalah celaka kecil, namun putus asa adalah celaka besar.;;;;1,06026E+18;https://twitter.com/barbbbarian/status/1060258480890699776;
yosemite8888;08/11/2018 02:30;0;0;Berdoa itu yg bagus..kesannya kok jadi putus asa begitu. Yg semangat dong;;;;1,06025E+18;https://twitter.com/yosemite8888/status/1060253155571642368;
safuan420;08/11/2018 02:14;12;21;rasa give up, putus asa? try ingat balik kenapa kita mula. ada orang sebab minat, ada sebab nak banggakan mak ayah, ada sebab nak berjaya nanti boleh sara keluarga, ada sebab nak tolong orang lain dgn apa yg dia ada. kalau penat, rehat. don't give up.;;;;1,06025E+18;https://twitter.com/safuan420/status/1060249237072470016;
bimoprasetyo4;08/11/2018 02:03;0;0;I added a video to a @ YouTube playlist http://youtu.be/Woj0CGDyN4U?a Merasa putus asa??? tontonlah ini !!!;;@;;1,06025E+18;https://twitter.com/bimoprasetyo4/status/1060246410946330624;
muhdareuf9;08/11/2018 01:46;0;1;Jangan cepat putus asa, susah mcm mne pon teruskan usaha Thanks so much;;;;1,06024E+18;https://twitter.com/muhdareuf9/status/1060242170660118528;
caroline_carol6;08/11/2018 01:46;0;0;# MOB Pace Lukas tersesat di padang pasir tanpa air dan putus asa, sambil sandar di batu besar --> lengkapnya http://goo.gl/CHn6Ed;;;#;1,06024E+18;https://twitter.com/caroline_carol6/status/1060242034038996992;
nasrulcuapcuap;08/11/2018 01:38;0;0;Jangan putus asa, setiap masalah pasti ada solusinya. Jika kau tak melihatnya, memohonlah kepadaNya. Dia pasti akan menunjukkan jalannya.;;;;1,06024E+18;https://twitter.com/nasrulcuapcuap/status/1060239965689393152;
Sedang_Bercakap;08/11/2018 01:30;0;0;Optimislah dan jangan putus asa.Jangan pula menyerah kalah tanpa berusaha dan selalulah berbaik sangka kepada Tuhan anda. Tunggulah segala kebaikan dan keindahan yang akan segera Dia berikan.;;;;1,06024E+18;https://twitter.com/Sedang_Bercakap/status/1060238081628897280;
anwar_artago23;08/11/2018 01:22;0;0;"Jika sudah hilang biar lah mungkun bukan jodoh yang penting aku tetap setrong"" ""Gagal bukan berarti putus asa tetap setrong"" ""Never Quid""""";;;;1,06024E+18;https://twitter.com/anwar_artago23/status/1060235977350963207;
